,TEXT,SIZE,FREQMAX,VOLTMAX,AMPMAX
77,"Purpose: We used transcranial magnetic stimulation (TMS) to investigate whether there were any characteristic cortical excitability changes in progressive myoclonic epilepsy (PME) compared to juvenile myoclonic epilepsy (JME). Method(s): Six patients with PME were studied. Motor threshold (MT) at rest and recovery curve analysis using paired-pulse stimulation at a number of interstimulus intervals (ISIs) was determined. Results were compared to those of 9 patients with chronic refractory JME and 10 with chronic well-controlled JME. Result(s): PME showed a marked increase in cortical excitability at all the long ISIs (p < 0.01), compared to refractory JME (effect sizes ranging from 1.4 to 1.9) and well-controlled JME (effect sizes ranging from 2.0 to 2.4). Significant differences at the short ISIs 2-5 ms were seen only on comparison with the well-controlled group (p < 0.05, effect size 0.6, 0.7). There were no significant differences in MTs of PME compared to either JME groups. Conclusion(s): Our findings demonstrate specific differences in cortical excitability using TMS between PME and those with JME, particularly at long latencies in the paired-pulse paradigm, implicating a role for I-aminobutyric acid (GABA)B-mediated networks. © 2010 International League Against Epilepsy.",9,,,
78,"Repetitive Transcranial Magnetic Stimulation (rTMS) is a non-invasive method for brain stimulation. Group-studies applying rTMS in epilepsy patients aiming to decrease epileptic spike- or seizure-frequency have led to inconsistent results. Here we studied whether therapeutic trains of rTMS have detectable effects on individual spike pattern and/or frequency in patients suffering from focal epilepsy. Five patients with focal epilepsy underwent one session of rTMS online with EEG using a 6 Hz prime/1 Hz rTMS protocol (real and sham). The EEG was recorded continuously throughout the stimulation, and the epileptic spikes recorded immediately before (baseline) and after stimulation (sham and real) were subjected to further analysis. Number of spikes, spike-strength and spike-topography were examined. In two of the five patients, real TMS led to significant changes when compared to baseline and sham (decrease in spike-count in one patient, change in topography of the after-discharge in the other patient). Spike-count and topography remained unchanged the remaining patients. Overall, our results do not indicate a consistent effect of rTMS stimulation on interictal spike discharges, but speak in favor of a rather weak and individually variable immediate effect of rTMS on focal epileptic activity. The individuation of most effective stimulation patterns will be decisive for the future role of rTMS in epilepsies and needs to be determined in larger studies. © 2009 Springer Science+Business Media, LLC.",5,,,
79,"Myoclonus-dystonia (M-D) is characterized by early onset myoclonus and dystonia. It is thought to be subcortical in origin. Response to oral medications may be incomplete, such that deep brain stimulation (DBS) surgery to the globus pallidum interna (GPi) or ventral intermediate thalamic nucleus (VIM) may be considered. The optimal site is not known. The physiology and surgical response for a 63-year-old woman who underwent GPi DBS for M-D with onset at age 2 and related to a mutation in the epsilon-sarcoglycan gene (SGCE) is described. She showed excellent clinical and neurophysiological improvement of both myoclonus and dystonia, suggesting that modulation by DBS is effective even after long disease duration and only partial response to oral medications. © 2009 Elsevier B.V. All rights reserved.",0,,,
80,"Purpose: The quality of presurgical evaluation in focal extratemporal epilepsy surgery is highly dependent on precise structural and functional identification of the epileptic focus. Navigated transcranial magnetic stimulation (nTMS) is a tool that combines the spatial information of high-resolution magnetic resonance imaging (MRI) with the functionality of non-invasive cortical stimulation. The non-invasive character of nTMS suggests that it could be a promising tool for presurgical evaluation of cortical excitability. Method(s): Presurgical nTMS evaluation was performed on an 8-year-old boy with left-sided intractable focal epilepsy, somatosensory auras and epilepsia partialis continua. In line with standardized procedures, motor evoked potentials were sought in both hemispheres over perirolandic cortex during simultaneous belly-tendon surface recordings of the first dorsal interosseus muscles. Result(s): One singular motor-evoked potential (MEP) could be elicited in the unaffected hemisphere. In contrast, in the affected hemisphere MEPs could be elicited over a large area of the cortex even after the stimulation strength was reduced by at least 44%. Latency stratification in the affected hemisphere differentiated a motor from a sensory region of interest. Stimulation over the sensory region induced a sensory aura. The sensory site was concordant with a previous transient diffusion restriction found in an MRI two years prior to nTMS. Conclusion(s): NTMS can locate pathological excitability with high spatial precision. Future studies should compare nTMS with direct cortex stimulation, as well as the combination of nTMS with electroencephalography (EEG) in a larger patient-collective. © 2010-IOS Press and the authors. All rights reserved.",0,,,
81,"Studies of deep brain stimulation in laboratory models of seizures and epilepsy are invaluable for understanding of mechanisms of stimulation and for identifying best targets and parameters of stimulation. Recent successes of clinical trials may give more impetus to laboratory studies, which in turn will further our clinical practice. For an expanded treatment of this topic see Jasper's basic mechanisms of the epilepsies. 4th ed. (Noebels JL, Avoli M, Rogawski MA, Olsen RW, Delgado-Escueta AV, eds) published by Oxford University Press (available on the National Library of Medicine Bookshelf [NCBI] at). © 2010 International League Against Epilepsy.",0,,,
82,"Background: Perinatal anoxia rarely causes myoclonus as the main neurologic abnormality. The exact neuronal mechanism underlying myoclonus induced by perinatal anoxia remains unknown. Some studies have indicated that the development of involuntary movements may be related to the maturation of the thalamus after birth. Objectives and Methods: Here, we describe the first case of a patient who developed action myoclonus after experiencing perinatal anoxia and was successfully treated by chronic deep brain stimulation (DBS) of the thalamus (thalamic DBS). Results andConclusion: The effectiveness of chronic thalamic DBS in this patient supports the concept of involvement of the thalamus in postperinatal anoxic myoclonus. Copyright © 2010 S. Karger AG.",1,,,
83,"Background: Previous studies have shown that closed-loop or responsive neurostimulation can abort induced or spontaneous epileptiform discharges. Objective(s): To assess the effectiveness of a programmable cranially implanted closed-loop neurostimulation system in the control of seizures originating from an area relatively inaccessible by open craniotomy. Method(s): A patient with drug-resistant partial epilepsy had previously undergone open resection of the left frontal opercular cortex and the underlying insular area. Although subdural-depth electrode ictal recordings had been nonlocalizing, depth electrode insular stimulation had produced the patient's habitual aura. Postoperatively, there was a sustained 50% reduction in seizure frequency. The residual seizures were identical to the preoperative seizures. Repeat depth electrode monitoring revealed that the ictal focus was immediately posterior to the previously resected insular area. A closed-loop cranial internal pulse generator system including left anterior insular and posterior orbitofrontal depth electrodes was implanted. Result(s): There was an additional 60% reduction of seizures. Conclusion(s): Preliminary observation indicates that responsive neurostimulation may be an effective alternative to higher-risk resective epilepsy surgery. Copyright © 2010 S. Karger AG, Basel.",1,,,
84,Cortical areas that control ear movement have not been reported in humans. We describe a rare case in which ear auricle movement was induced by extraoperative electrical cortical stimulation. A 21-year-old man with intractable localization-related epilepsy was admitted for presurgical evaluation. Subdural electrodes were implanted over the right temporal and frontal regions. Tonic upward contraction of the left ear auricle was elicited by stimulating the subdural electrode on the posterior portion of the right superior temporal gyrus close to the end of the Sylvian fissure. No other body movements or auditory symptoms were elicited. A possible mechanism underlying this rare phenomenon is discussed. © 2010 Elsevier Inc.,0,,,
85,"Purpose: Diffusion tensor imaging (DTI) provides information about magnitude (diffusivity) and directionality (fractional anisotropy, FA) of water diffusion and allows visualization of major white matter tracts. The arcuate fasciculus (AF) connects anterior (Broca's) and posterior (Wernicke's) language areas. We hypothesized that essential language areas identified by direct cortical stimulation would colocalize with areas revealing subcortical connectivity via the AF. Method(s): Fourteen patients with pharmacoresistant left hemispheric epilepsy and left hemisphere language dominance underwent invasive evaluations for localization of epileptogenicity and functional mapping. DTI and TI-weighted volumetric magnetic resonance imaging (MRI) scans were coregistered, and subdural grid electrodes identified on postimplantation computed tomography (CT) scans were also coregistered to the MRI scans. The AF was reconstructed from a region lateral to the corona radiata on the FA map. Colocalization, defined as <1 cm between the AF and the electrode positions delineating language cortex, was visually assessed with excellent reliability (Cronbach's alpha = 0.98). Result(s): Atotal of 71 subdural grid contacts were overlying language cortex. Nineteen contacts in eight patients were over Broca's area, 16 of which (84.2%) colocalized with the AF. Fifty-two contacts in 10 patients were over Wernicke's area, with colocalization in 29 patients (55.8%). Colocalization was significantly greater in anterior regions than in posterior regions [chi2(1) = 4.850, p < 0.05]. Discussion(s): The AF, as visualized with DTI, colocalized well with anterior language areas, but less so with posterior language areas, inferring that the latter are more spatially dispersed. © 2009 International League Against Epilepsy.",29,,,
86,"Objective - The precise mechanism of action of vagus nerve stimulation (VNS) in suppressing epileptic seizures remains to be elucidated. This study investigates whether VNS modulates cortical excitability by determining the threshold for provoking focal motor seizures by cortical electrical stimulation before and after VNS. Material and methods - Male Wistar rats (n = 8) were implanted with a cuff-electrode around the left vagus nerve and with stimulation electrodes placed bilaterally on the rat motor cortex. Motor seizure threshold (MST) was assessed for each rat before and immediately after 1 h of VNS with standard stimulation parameters, during two to three sessions on different days. Results - An overall significant increase of the MST was observed following 1 h of VNS compared to the baseline value (1420 muA and 1072 muA, respectively; P < 0.01). The effect was reproducible over time with an increase in MST in each experimental session. Conclusions - VNS significantly increases the MST in a cortical stimulation model for motor seizures. These data indicate that VNS is capable of modulating cortical excitability. © 2009 Blackwell Munksgaard.",0,,,1.42
87,"Background: Navigated transcranial magnetic stimulation (nTMS) is a non-invasive method to localize the primary motor cortex (M1). Objective/Hypothesis: To assess the safety and feasibility of nTMS as a non-invasive preoperative mode of functional localization of M1 in epilepsy surgery candidates with intractable focal epilepsy due to lesions in the vicinity of M1. Method(s): We mapped the muscle representation areas of M1 with nTMS in 10 patients (age 2 to 55 years) with intractable epilepsy. The lesions were focal cortical dysplasia (n= 6), ganglioglioma (n= 2) polymicrogyria (n= 1) or dysembryoblastic neuroepithelial tumour (n= 1). The optimal stimulation sites and motor threshold (MT) of the distal hand or leg muscles were determined in both hemispheres. Cortical areas were mapped with stimulation intensities 100-120% of the MT to localize functional M1. Patients were on their stabile antiepileptic medication, and EEG was continuously monitored. The clinical benefit obtained with the preoperative nTMS mapping in the surgical decision making was scored as (1) essential, (2) beneficial, or (3) not beneficial, depending mainly on the difference between the functional and the presumed anatomic M1. Result(s): The M1 was successfully assessed in all but the 2 youngest patients (aged 2 and 5 years), in whom nTMS was unable to elicit motor responses. nTMS was regarded as essential or beneficial in the localization of M1 in relation to the lesions in 6 out of 10 cases. The optimal motor representation areas were mainly located symmetrically on the precentral gyrus, and corresponded to the presumed location of M1 in MRI. No clinical or EEG evidence of acute epileptogenic adverse effects were observed during the localization procedure. None of the operated patients developed post-operative motor deficits. Conclusion(s): nTMS is a safe and feasible clinical tool for the non-invasive preoperative localization of motor cortex in patients with intractable epilepsy due to focal lesions adjacent or within the presumed M1 in MRI. © 2010 Elsevier B.V.",10,,,
88,"The inhibitory effects of deep brain stimulation (DBS) were investigated in a rat model of kainic acid (KA)-induced limbic status epilepticus. Wistar rats were injected with 1.0 mug KA into the left amygdala after stereotactic implantation of a guide cannula and electrodes. Bipolar rectangular pulses of 0.1 msec duration and 0.1-0.3 mA amplitude were applied intermittently to the left amygdala (10 Hz or 130 Hz), left ventral hippocampus (10 Hz), and left dorsomedial thalamus (130 Hz). Seizure frequency was evaluated by video electroencephalography monitoring and compared to control animals that did not receive DBS. All rats developed limbic status epilepticus 60-90 minutes after KA injection. Seizure frequency was significantly reduced by 10 Hz stimulation of the amygdala and by 130 Hz stimulation of the dorsomedial thalamus. No significant effects were observed with other types of stimulation. Seizure behaviors or duration of seizure were not changed significantly by DBS treatment. DBS of an epileptic focus may attenuate KA-induced limbic seizures, depending on the stimulation sites and parameters.",0,,,0.3
89,"Purpose: To assess systematically efficacy and tolerability of chronic high-frequency deep brain stimulation (DBS) in adult patients with progressive myoclonic epilepsy syndromes (PMES). Method(s): Five adult patients (four males, 28-33 years) with PMES underwent chronic high-frequency DBS according to a study protocol that had been approved by the local ethical commission. Electrodes were implanted in the substantia nigra pars reticulata (SNr) / subthalamic nucleus (STN) region in the first patient and additionally in the ventral intermediate nucleus (VIM) bilaterally in the following four cases. The DBS effects were compared with the baseline Video-EEG findings concerning myoclonic jerks and daily life performance eight weeks prior to the implantation and six-monthly afterwards. Result(s): No serious complications occurred. The follow-up ranges between 3 and 33 months (median 15 months). The best effects were seen with SNr but not with VIM stimulation in all patients. In the four patients with a sufficient follow-up, the reduction of myoclonic seizures ranged between 30% and 100%. All patients reported clinically relevant improvements of various capabilities such as free standing and walking or significantly improved fine motor abilities. In one patient generalized tonic-clonic seizures increased after 15 months, the best effect was seen in the least impaired patient. Conclusion(s): DBS of the SNr/STN may be an effective treatment option for patients with PMES. Less impaired patients may benefit more markedly. The experience in one patient indicates that the beneficial effect may be temporary similarly to the observations in Parkinson's disease.",5,,,
90,"Up to now, vagal nerve stimulation (VNS) has been the main therapeutic stimulation approach in patients with therapy-refractory epilepsy who are not candidates for resective surgery. Based on the extensive experience available with the treatment of movement disorders, chronic high-frequency deep brain stimulation (DBS) may also be effective in patients with refractory epilepsy. A benefit is expected in epilepsy because of the connections that exist between the subthalamic nucleus (STN) and the superior colliculus (dorsal midbrain anticonvulsant zone). Individual case reports of successful DBS in different types of epilepsy have already been presented. Our group has meanwhile experience with five adult patients (four males, 28 - 33 years) with progressive myoclonic epilepsy syndromes PMES)who underwent chronic high-frequency DBS according to a study protocol that had been approved by the local ethical commission. Electrodes were implanted in the subthalamic nucleus (STN) in the first patient and additionally in the anterior thalamic nucleus (ATN) bilaterally in the following four cases. The DBS effects were compared with the baseline Video-EEG findings concerning myoclonic jerk and daily life performance eight weeks prior to the implantation and threemonthly afterwards. No complications occurred. The best effects were seen with STN but not with ATN stimulation in all patients. In the four patients with a sufficient follow-up reduction of myoclonic seizures by more than 50% was documented by video and by self-reports. All patients reported clinically relevant improvements of various capabilities such as free standing and walking or siginificantly improved fine motor abilities. The best effect was seen in the least impaired patient. DBS of the STN may be an effective treatment option for patients with PMES. Less impaired patients may benefit more markedly. In order to achieve more reliable data multicenter studies are urgently needed.",5,,,
91,"Purpose: To determinate the effects of low frequency (0.5 Hz) repetitive transcranial magnetic stimulation (rTMS) in the seizure frequency and EEG power spectrum in patients with focal epilepsy. Method(s): Six patients with focal epilepsy were studied (mean age 30.66 +/- 10.26 years). Five daily sessions of 30 minutes of (rTMS) with 900 pulses each session, intensity of 110% of motor resting thershold and 0.5 Hz frequency were carried out. The rTMS was made with eight rounded coil over the irritative zone. We register the seizure frequency before, during and 1 month after the rTMS. A 19 lead EEG was recorded before and after stimulation. Changes in power spectrum before and after of rTMS were evaluated. Result(s): Before of rTMS the mean seizure frequency was 2.87, during rTMS 0.83 (71.08%, p=0.20) and one month after rTMS 1.30 (54.7%, p=0.13). In stimulated region the mean power of delta band before of rTMS was of 10.23 +/- 7.92 muV2, in theta band 9.79 +/- 5.85 muV2, in the alpha band 28 +/- 40.67 muV2 and beta band 2.91 +/- 1.67 muV2. After of rTMS the mean power of delta was of 11.36 +/- 8.48 muV2, theta 9.59 +/- 5.17 muV2, alpha 24.79 +/- 35.37 muV2 and beta 2.69 +/- 1.22 muV2 (p> 0.05). Conclusion(s): rTMS produces a reduction of seizure frequency and the mean power of alpha band, but this reduction was not significative.",6,,,
92,"Background: Deep brain stimulation (DBS) is a widely used surgical procedure for the treatment of patients with drug resistant epilepsy (DRE) and several anatomical target have been described. Indications for DBS includes patients with focal, partial seizure and those for which resective or disconnective surgery are contraindicated, such as involvement of eloquent cortex or significant comorbidities. Despite the SANTE trial has clearly indicated the efficacy of DBS of anterior nucleus of the thalamus (ANT), specific indications regarding the best anatomical target and outcome in patients with severe disability are lacking. Here we described our case series of patients underwent DBS of three different target including ANT, centromedian thalamic nucleus (CMN) and subthalamic nucleus (STN). Method(s): Six patients with DRE have been treated with DBS of ANT (n = 3), STN (n = 2) and CMN (n = 1). Outcome has been expressed as seizures frequency reduction and patients functional status after surgery with a follow-up of 5-11 years. Result(s): Four out of six patients show no reduction of seizures frequency after DBS implant with one case of increasing atypical absence. Two cases, one ANT and one CMN, show a significant reduction of seizures frequency of 50-60%. No patients improve relative to functional outcome and one showed psychiatric symptoms worsening. Conclusion(s): For patients with DRE and severe functional disability, DBS may reduce seizure frequency in some cases, but it does not improve functional outcome.Copyright © 2021 Elsevier B.V.",6,,,
93,"Introduction: Following electrode implantation, a subgroup of patients treated with deep brain stimulation (DBS) for focal epilepsy exhibits a reduction of seizure frequency before stimulation is initiated. Microlesioning of the target structure has been postulated to be the cause of this ""insertional"" effect (IE). We examined the occurrence and duration of this IE in a group of patients with focal epilepsy following electrode implantation in the anterior nuclei of the thalamus (ANT) and/or nucleus accumbens (NAC) for DBS treatment. Material(s) and Method(s): Changes in monthly seizure frequency compared to preoperative baseline were assessed one month (14 patients) and five months (four patients) after electrode implantation. A group analysis between patients with implantation of bilateral ANT-electrodes (four patients), NAC-electrodes (one patient) as well as ANT and NAC-electrodes (nine patients) was performed. Result(s): In this cohort, seizure frequency decreased one month after electrode implantation by 57.1 +/- 30.1%, p <= 0.001 (compared to baseline). No significant difference within stimulation target subcohorts was found (p > 0.05). Out of the four patients without stimulation for five months following electrode insertion, three patients showed seizure frequency reduction lasting two to three months, while blinded to their stimulation status. Conclusion(s): An IE might explain seizure frequency reduction in our cohort. This effect seems to be independent of the number of implanted electrodes and of the target itself. The time course of the blinded subgroup of epilepsy patients suggests a peak of the lesional effect at two to three months after electrode insertion.Copyright © 2021 The Authors. Neuromodulation: Technology at the Neural Interface published by Wiley Periodicals LLC on behalf of International Neuromodulation Society.",14,,,
94,"Objective: It remains unclear whether transcranial magnetic stimulation (TMS) can replace the Wada test to determine language hemisphere dominance (HD). Using the Wada test as the gold standard, this study aimed to investigate the accuracy of navigated TMS (nTMS) in determining language HD. Method(s): This study enrolled nine right-handed patients with drug-resistant epilepsy. We hypothesized that application of nTMS to language-related areas of the language-dominant hemisphere would induce positive manifestation of language dysfunction (LD). To test our hypothesis, the patients were instructed to perform a visual object-naming task while nTMS was applied to the anterior (e.g., Broca's area) and posterior (e.g., Wernicke's area) regions, which are closely related to language processing. The Wada test result was used as the gold standard, and the diagnostic value of nTMS was assessed using the Kappa consistency test. Result(s): The nTMS-induced LD positive rate for the bilateral anterior language areas (85.7%) was higher than that for the posterior language areas (57.1%). There was high consistency between nTMS stimulation of the left anterior and posterior language areas and the Wada test results for determining language HD. In contrast, the consistency of stimulation of the right anterior and posterior transfer sites was moderate (Kappa value = 0.545, P = 0.171) and low, respectively. For the latter, no statistical calculation was performed because stimulation of the right posterior speech area was negative in all patients compared with the Wada test results. Conclusion(s): Our findings revealed that using nTMS to stimulate language-related left anterior and posterior areas could predict language HD with high accuracy. When the stimulation performance of these areas is positive, nTMS and the Wada test are equally accurate. Observing only negative performance may indicate that language HD has been transferred to the right side.Copyright © 2020",9,,,
95,"Epilepsy affects approximately 70 million people worldwide, and it is a significant contributor to the global burden of neurological disorders. Despite the advent of new AEDs, drug resistant-epilepsy continues to affect 30-40% of PWE. Once identified as having drug-resistant epilepsy, these patients should be referred to a comprehensive epilepsy center for evaluation to establish if they are candidates for potential curative surgeries. Unfortunately, a large proportion of patients with drug-resistant epilepsy are poor surgical candidates due to a seizure focus located in eloquent cortex, multifocal epilepsy or inability to identify the zone of ictal onset. An alternative treatment modality for these patients is neuromodulation. Here we present the evidence, indications and safety considerations for the neuromodulation therapies in vagal nerve stimulation (VNS), responsive neurostimulation (RNS), or deep brain stimulation (DBS).Copyright © 2021 Rincon N et al.",0,,,
96,"Introduction: Nearly 25% of all epilepsy is Drug Resistant Epilepsy (DRE) 1-3. Surgical evaluation should be considered early in the course of the disease to minimize morbidity and the risk of sudden unexpected death in epilepsy (SUDEP)4-5. Neuromodulation is a viable option when resection or ablation is not feasible. A growing body of evidence shows improved seizure control and long-term efficacy with both7. With highly complex epileptogenic networks, a multimodality approach may provide an additional benefit to maximize seizure control. We report two cases of DRE who underwent anterior nucleus of the thalamus (ANT) DBS implantation followed by RNS implantation. To our knowledge, this is the first report of simultaneous DBS and RNS neurostimulation for the treatment of epilepsy. Method(s): A retrospective chart review was performed on 2 patients with DRE receiving care at Spectrum Health Medical Group who underwent ANT DBS followed by RNS implantation in select targets based on pre-surgical evaluation. Demographic, radiographic, electroencephalographic (EEG), stimulation parameter and follow-up data were abstracted and are summarized in table 1. Seizure frequency and severity were assessed at follow up. Result(s): Patient 1: She underwent left ANT DBS followed by left hippocampus and periventricular heterotopia depth electrode RNS. Pre-implantation she experienced 1-5 focal impaired awareness seizures (FIAS) per month. After being seizure-free for 3 months post-implantation, she experienced 2 focal aware seizures (FAS). She reported a seizure reduction frequency at 7-month follow-up of 25-49% as well as decreased severity. Patient 2: She underwent implantation of bilateral ANT DBS followed by bilateral hippocampal depth electrode RNS. Prior to surgery she reported 3 different seizure semiology patterns, including FAS with a frequency of 1 per month, 2 FIAS in 2019 and 1 focal to bilateral tonic-clonic seizure (FBTCS). She was seizure-free at 6-month follow up. Conclusion(s): DRE poses a challenging problem in which only 20% of patients are surgical candidates, and of these, only 30-40% achieve benefit. Neuromodulation techniques, such as DBS and RNS, have proven efficacious and safe in randomized controlled trials7-9. This is particularly important in cases of multiple epileptogenic foci, diffuse onset epilepsy or if resective surgery is not an option. Whether the optimal stimulation pathways will be thalamic, cortical, or corticothalamic, remains to be seen; and whether a combination of closed loop and open loop stimulation will be synergistic also awaits further experience. Nevertheless, these cases illustrated that RNS and DBS implantation in the same patient is feasible, safe and potentially effective.",2,,,
97,"OBJECTIVE: Navigated transcranial magnetic stimulation (nTMS) is a noninvasive technique often used for localization of the functional motor cortex via induction of motor evoked potentials (MEPs) in neurosurgical patients. There has, however, been no published record of its application in pediatric epilepsy surgery. In this study, the authors aimed to investigate the feasibility of nTMS-based motor mapping in the preoperative diagnostic workup within a population of children with medically refractory epilepsy. METHOD(S): A single-institution database was screened for preoperative nTMS motor mappings obtained in pediatric patients (aged 0 to 18 years, 2012 to present) with medically refractory epilepsy. Patient clinical data, demographic information, and mapping results were extracted and used in statistical analyses. RESULT(S): Sixteen patients met the inclusion criteria, 15 of whom underwent resection. The median age was 9 years (range 0-17 years). No adverse effects were recorded during mapping. Specifically, no epileptic seizures were provoked via nTMS. Recordings of valid MEPs induced by nTMS were obtained in 10 patients. In the remaining patients, no MEPs could be elicited. Failure to generate MEPs was associated significantly with younger patient age (r = 0.8020, p = 0.0001863). The most frequent seizure control outcome was Engel Epilepsy Surgery Outcome Scale class I (9 patients). CONCLUSION(S): Navigated TMS is a feasible, effective, and well-tolerated method for mapping the motor cortex of the upper and lower extremities in pediatric patients with epilepsy. Patient age modulates elicitability of MEPs, potentially reflecting various stages of myelination. Successful motor mapping has the potential to add to the existing presurgical diagnostic workup in this population, and further research is warranted.",16,,,
98,"Objective: Navigated transcranial magnetic stimulation (nTMS) is becoming increasingly popular in noninvasive preoperative language mapping, as its results correlate well enough with those obtained by direct cortical stimulation (DCS) during awake surgery in adult patients with tumor. Reports in the context of epilepsy surgery or extraoperative DCS in adults are, however, sparse, and validation of nTMS with DCS in children is lacking. Furthermore, little is known about the risk of inducing epileptic seizures with nTMS in pediatric epilepsy patients. We provide the largest validation study to date in an epilepsy surgery population. Method(s): We compared language mapping with nTMS and extraoperative DCS in 20 epilepsy surgery patients (age range 9-32 years; 14 children and adolescents). Result(s): In comparison with DCS, sensitivity of nTMS was 68%, specificity 76%, positive predictive value 27%, and negative predictive value 95%. Age, location of ictal-onset zone near or within DCS-mapped language areas or severity of cognitive deficits had no significant effect on these values. None of our patients had seizures during nTMS. Significance: Our study suggests that nTMS language mapping is clinically useful and safe in epilepsy surgery patients, including school-aged children and patients with extensive cognitive dysfunction. Similar to in tumor surgery, mapping results in the frontal region are most reliable. False negative findings may be slightly more likely in epilepsy than in tumor surgery patients. Mapping results should always be verified by other methods in individual patients.Copyright © 2018 The Authors. Epilepsia Open published by Wiley Periodicals Inc. on behalf of International League Against Epilepsy.",20,,,
99,"Background and aims: The efficacy of deep brain stimulation (DBS) of the anterior nucleus of the thalamus (ANT) in drug resistant epilepsy (DRE) patients was demonstrated in the double-blind Stimulation of the Anterior Nucleus of the Thalamus for Epilepsy (SANTE) randomized controlled trial. The Medtronic Registry for Epilepsy (MORE) aims to understand the safety and longerterm effectiveness of ANT-DBS therapy in routine clinical practice. Method(s): MORE is an observational registry collecting prospective and retrospective clinical data. Participants were at least 18 years old, with focal DRE recruited across 25 sites from 13 countries. They were followed for at least two years in terms of seizure frequency (SF), health-related quality of life (Quality of Life in Epilepsy Inventory 31 (QOLIE-31), depression, and safety outcomes. Outcomes in the complete case population at two years are reported. Result(s): Of the 191 patients recruited, 170 (mean age of 35.6 years, 43% female) were analysed. At entry, 38% of patients reported cognitive impairment. Over two years the median monthly SF decreased progressively by 33,1% (p-value<0.0001) and QOLIE-31 improved by a median 2-point. No change in depression severity was seen. Factors influencing SF reduction included seizure type, absence of cognitive impairment and site implant volume. The most reported adverse events were new or worsening seizures (16% of patients), memory impairment (15%) and depression (13%). Conclusion(s): The MORE registry supports the benefit and safety of ANT-DBS therapy in a real-world setting in the 2-years following implantation. Patients without cognitive impairment may benefit more from this type of neuromodulation therapy.",191,,,
100,"Background and Introduction: Deep brain stimulation (DBS) has been increasingly used in the treatment of refractory epilepsy with remarkable safety. Experimental data demonstrated that electric current could modulate distinct brain circuits and decrease neuronal hypersynchronization seen in epileptic activity. The ability to carefully choose the most suitable anatomical target and precisely implant the lead is of extreme importance for satisfactory outcomes. Objective(s): This video aimed to explore the targeting of the three most relevant nuclei in the treatment of refractory epilepsy. Technique: Through a step-by-step approach, this video describes the surgical planning for DBS implantation in the anterior nucleus of the thalamus (ANT), the centromedian nucleus of the thalamus (CM), and the hippocampus (HIP). Conclusion(s): Each of the discussed targets has its own pearls and pitfalls that should be considered for an adequate lead placement. Accurate planning of the surgical procedure is essential for achieving optimal results.",0,,,
101,"Vagus nerve stimulation (VNS) and anterior thalamic deep brain stimulation (ANT-DBS) have both been used for treatments of drug-resistant epilepsy (DRE). However, there is no comparative study on the effectiveness of two methods from one single center. 17 patients with DRE who underwent VNS therapy and 18 patients who underwent DBS were enrolled. A retrospective study was performed starting from baseline before operation extending to 12 months after operation. The seizure types, duration of epilepsy, age at implantation, failed numbers of antiepileptic drugs (AEDs) before operation, history of craniotomy, stimulation parameters and response rate were described. The analysis of liner regression on the age of onset, duration of epilepsy, numbers of AEDs, and the seizure reduction at 12 months after operation was applied. The mean seizure reduction in patients with DBS at 3, 6, 9 and 12 months after the operation was 57.22%, 61.61%, 63.94% and 65.28%, and that in cases with VNS was 36.06%, 39.94%, 45.24% and 48.35%, respectively. At 1 year after the operation, the patients with older operation age, focal seizures and older age of onset responded better to VNS; and those older operation age, focal generalized seizures, history of craniotomy and longer duration of disease responded better to DBS. The efficiency of ANT-DBS was higher than that of VNS at each follow up time point. Patients can choose the appropriate treatment according to the individual clinical characteristics.Copyright © 2021 Elsevier Ltd",18,,,
102,"Introduction ?Deep brain stimulation of the anterior nucleus of the thalamus (ANT DBS) is a neuromodulation therapy for patients with refractory partial seizures. The ANT is the structure of a limbic system with abundant neuronal connections to temporal and frontal brain regions that participate in seizure propagation circuitry. State of the Art ?We have performed a literature search regarding the clinical efficacy of ANT DBS. We discuss the surgical technique of the implantation of DBS electrodes with special attention paid to the targeting methods of the ANT. Moreover, we present in detail the clinical efficacy of ANT DBS, with a special emphasis on the stimulation parameters, a stimulation mode, and polarity. We also report all adverse events and present the current limitations of ANT DBS. Clinical Implications ?In general, the safety profile of DBS in intractable epilepsy patients is good, with a low rate of surgery, hardware-related, and stimulation-induced adverse events. No significant cognitive declines or worsening of depressive symptoms was noted. At long-term follow-up, the quality-of-life scores have improved. The limitations of ANT DBS studies include a limited number of patients treated and mostly open-label designs with only one double-blind, randomized multicenter trial. Most studies do not report the etiology of intractable epilepsy or they include nonhomogeneous groups of patients affected by intractable epilepsy. There are no guidelines for setting initial stimulation parameters. All the variables mentioned may have a profound impact on the final outcome. Conclusions ?ANT DBS appears to be a safe and efficacious treatment, particularly in patients with refractory partial seizures (three-quarters of patients gained at least 50% seizure reduction after 5 years). ANT DBS reduces most effectively the seizures originating in the temporal and frontal lobes. The published results of ANT DBS highlight promise and hope for patients with intractable epilepsy.Copyright © 2021 Lippincott Williams and Wilkins. All rights reserved.",0,,,
